test_system,LLMs,Jaccard,MMD,Random
Android,Linux,HDFS,HPC,Apache
Apache,HealthApp,HealthApp,Thunderbird,Proxifier
BGL,HealthApp,HealthApp,Zookeeper,Windows
Hadoop,HealthApp,HealthApp,Windows,Proxifier
HDFS,Zookeeper,HealthApp,OpenStack,HealthApp
HealthApp,BGL,Spark,Android,Android
HPC,HDFS,HDFS,Android,Android
Linux,HDFS,HealthApp,OpenSSH,OpenSSH
Mac,OpenStack,HealthApp,Windows,Windows
OpenSSH,Android,HealthApp,Linux,Spark
OpenStack,Mac,HealthApp,Hadoop,HPC
Proxifier,OpenSSH,HealthApp,Mac,BGL
Spark,HealthApp,HealthApp,Linux,Linux
Thunderbird,Android,HealthApp,Apache,Zookeeper
Windows,HealthApp,HealthApp,Mac,Mac
Zookeeper,HPC,HealthApp,Thunderbird,Spark
